科目名,曜日・時限,講義室情報,適正人数,担当教員,URL
現代世界への歴史学的アプローチ（英語クラス）,火4,B3,50人,小髙　敬寛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71A10a.424&je_cd=1&lct_idx=A000000000137272
現代世界への歴史学的アプローチ（英語クラス）,火5,B3,50人,小髙　敬寛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71A10a.425&je_cd=1&lct_idx=A000000000137273
現代世界への歴史学的アプローチ,水2,D4,50人,小髙　敬寛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71A10a.432&je_cd=1&lct_idx=A000000000137274
現代世界への歴史学的アプローチ,水4,B4,50人,小髙　敬寛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71A10a.434&je_cd=1&lct_idx=A000000000137275
現代世界への歴史学的アプローチ,水5,B4,50人,小髙　敬寛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71A10a.435&je_cd=1&lct_idx=A000000000137276
現代世界への歴史学的アプローチ,木2,D9,50人,安部　聡一郎,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71A10a.442&je_cd=1&lct_idx=A000000000137277
グローバル時代の政治経済学（英語クラス）,月2,B9,25人,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71B10a.412&je_cd=1&lct_idx=A000000000137293
グローバル時代の政治経済学,月4,C10,75人,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71B10a.414&je_cd=1&lct_idx=A000000000137294
グローバル時代の政治経済学,火2,C10,75人,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71B10a.422&je_cd=1&lct_idx=A000000000137295
グローバル時代の政治経済学（英語クラス）,木2,B9,25人,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71B10a.442&je_cd=1&lct_idx=A000000000137296
グローバル時代の政治経済学,木4,B10,75人,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71B10a.444&je_cd=1&lct_idx=A000000000137297
グローバル時代の社会学,火2,B4,64人,眞住　優助,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71C10a.422&je_cd=1&lct_idx=A000000000137313
グローバル時代の社会学,火4,D4,64人,眞住　優助,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71C10a.424&je_cd=1&lct_idx=A000000000137314
グローバル時代の社会学（英語クラス）,木4,C4,30人,渡辺　達雄,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71C10a.444&je_cd=1&lct_idx=A000000000137315
ケーススタディによる応用倫理学（英語クラス）,火5,D10,97人,小田桐　拓志,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71D10a.425&je_cd=1&lct_idx=A000000000137327
地球生物圏と人間,木2,C1,99人,佐藤　圭,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71E20a.442&je_cd=1&lct_idx=A000000000137338
地球生物圏と人間（英語クラス）,木4,B1,99人,佐藤　圭,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71E20a.444&je_cd=1&lct_idx=A000000000137339
地球生物圏と人間,金2,A1,99人,佐藤　圭,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=71E20a.452&je_cd=1&lct_idx=A000000000137340
ゼミ／漢文史料読解B2,金5,C11,30人,古畑　徹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72287&je_cd=1&lct_idx=A000000000137345
日本国憲法概説,"月2,火2",F10,100人,岡室　悠介,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72501.01&je_cd=1&lct_idx=A000000000137347
哲学（自我論）,水1,C1,99人,GRUENEBERG PATRICK,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72A10a.431&je_cd=1&lct_idx=A000000000137365
哲学（自我論）（英語クラス）,水5,B3,50人,GRUENEBERG PATRICK,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72A10a.435&je_cd=1&lct_idx=A000000000137366
哲学（自我論）,木1,C1,99人,GRUENEBERG PATRICK,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72A10a.441&je_cd=1&lct_idx=A000000000137367
パーソナリティ心理学,月4,C1,99人,岡田　努,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72B10a.414&je_cd=1&lct_idx=A000000000137381
パーソナリティ心理学（英語クラス）,火3,C5,30人,菊谷　まり子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72B10a.423&je_cd=1&lct_idx=A000000000137382
パーソナリティ心理学,火4,C10,85人,菊谷　まり子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72B10a.424&je_cd=1&lct_idx=A000000000137383
パーソナリティ心理学,金3,C10,85人,菊谷　まり子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72B10a.453&je_cd=1&lct_idx=A000000000137384
グローバル時代の文学,月5,B4,50人,上田　望,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72C10a.415&je_cd=1&lct_idx=A000000000137403
グローバル時代の文学,水4,C2,50人,佐藤　文彦,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72C10a.434&je_cd=1&lct_idx=A000000000137404
グローバル時代の文学,木2,C2,50人,佐藤　文彦,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72C10a.442&je_cd=1&lct_idx=A000000000137405
グローバル時代の文学,金3,B4,50人,佐藤　文彦,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72C10a.453&je_cd=1&lct_idx=A000000000137406
グローバル時代の文学,金4,B4,50人,佐藤　文彦,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72C10a.454&je_cd=1&lct_idx=A000000000137407
健康科学,火3,D5,50人,唐島　成宙,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72D20a.423&je_cd=1&lct_idx=A000000000137426
健康科学,火4,D5,50人,唐島　成宙,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72D20a.424&je_cd=1&lct_idx=A000000000137427
健康科学,水1,D5,50人,唐島　成宙,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72D20a.431&je_cd=1&lct_idx=A000000000137428
健康科学,木2,F10,50人,米田　貢,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72D20a.442&je_cd=1&lct_idx=A000000000137429
健康科学（英語クラス）,木3,D4,50人,唐島　成宙,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72D20a.443&je_cd=1&lct_idx=A000000000137430
健康科学（英語クラス）,木4,D4,50人,唐島　成宙,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=72D20a.444&je_cd=1&lct_idx=A000000000137431
